Date,Open,High,Low,Close,Volume
2023-04-03,62.2577,62.7352,62.0084,62.5958,16096135.869123
2023-04-04,62.6622,62.7679,61.5758,61.8106,13784249.649669
2023-04-05,61.4918,61.5465,60.962,61.2845,17354773.254772
2023-04-06,60.8119,61.225,60.3062,60.6638,14875474.478767
2023-04-10,60.2166,61.1734,60.0609,61.1267,15808010.966448
2023-04-11,61.4569,61.4666,60.4865,60.5595,16953325.929384
2023-04-12,61.1218,61.1392,60.042,60.0851,14484249.880762
2023-04-13,60.3159,61.0398,60.1251,60.8196,17720389.715409
2023-04-14,60.4534,61.1889,59.9399,60.3619,17926660.952551
2023-04-17,60.2713,61.2191,60.1931,61.1237,13549342.45932
2023-04-18,61.5388,61.9167,61.1015,61.6069,17250647.181188
2023-04-19,61.0681,62.0423,60.9472,61.8194,19564473.255536
2023-04-20,61.1724,62.6212,61.1022,61.675,20773146.547917
2023-04-21,61.4393,61.7511,60.6004,61.6635,15197736.722075
2023-04-24,61.7355,62.2432,61.5548,61.8232,12663157.213462
2023-04-25,61.7695,61.9645,60.5762,60.6033,24294167.929965
2023-04-26,60.4038,60.7111,59.7743,60.0354,17632059.603113
2023-04-27,60.0354,60.4153,58.7727,60.2517,18731279.918787
2023-04-28,60.3159,61.0671,59.8766,61.0398,16609930.557885
2023-05-01,61.0398,62.2567,61.0106,62.1555,17479108.71612
2023-05-02,60.9678,61.0398,58.947,59.6603,29105500.730492
2023-05-03,60.1046,60.5967,59.6662,59.744,20338280.346671
2023-05-04,59.4323,59.8181,58.5837,59.4479,18150863.01774
2023-05-05,60.012,61.5242,59.7606,61.3927,25532534.345153
2023-05-08,61.3595,61.4521,60.463,61.2892,14302611.721649
2023-05-09,60.6725,60.8031,60.0031,60.2613,17438659.149241
2023-05-10,60.6072,61.186,60.2381,61.0175,19681254.572956
2023-05-11,61.0477,61.2327,60.2108,61.154,14810576.581945
2023-05-12,61.2231,61.6439,60.8168,61.4928,12257481.20968
2023-05-15,61.563,62.357,61.2318,62.3357,14999050.42021
2023-05-16,62.4,63.0284,62.2314,62.4954,15364163.955505
2023-05-17,63.0714,64.3915,62.8013,64.0572,24769565.808349
2023-05-18,63.914,66.1901,63.914,66.0478,27084982.768987
2023-05-19,66.2523,66.7346,66.0975,66.4717,23573753.035456
2023-05-22,66.3887,66.7085,65.6796,66.0935,18267233.78386
2023-05-23,67.2891,68.1026,66.4492,66.8856,37039958.85643
2023-05-24,66.3926,66.6723,65.8686,66.2066,23628212.665464
2023-05-25,68.1435,71.3568,67.3016,71.007,50562030.445615
2023-05-26,72.8216,79.4035,72.782,79.1843,84676595.746727
2023-05-30,81.3656,89.809,77.8281,78.2694,119995944.36665
2023-05-31,77.4472,80.0554,76.9824,78.7195,92371640.881793
2023-06-01,78.0043,78.5081,76.4981,76.9649,82923439.055873
2023-06-02,77.032,80.2599,76.6968,79.1132,64471785.62784
2023-06-05,78.8404,78.8404,77.4061,78.168,26913649.447516
2023-06-06,78.1389,78.1389,75.6427,76.9697,38821166.464888
2023-06-07,76.9521,78.475,76.7271,77.226,29720824.755862
2023-06-08,77.448,78.432,76.8508,78.3532,22495306.615585
2023-06-09,78.5091,79.6732,78.3221,78.3942,19754579.035221
2023-06-12,79.0275,83.595,79.0275,83.3377,52445752.713803
2023-06-13,83.8999,84.1075,81.9387,82.9247,40018765.135939
2023-06-14,83.3902,86.5703,82.5446,86.3404,44672045.949567
2023-06-15,86.1681,86.5148,84.8634,86.0726,34705471.787885
2023-06-16,86.6419,86.7078,84.3204,84.5799,70100546.595179
2023-06-20,84.0489,85.4528,83.8882,84.5721,28263613.969956
2023-06-21,84.236,84.8239,82.7277,83.0274,23715200.548143
2023-06-22,82.7757,83.1499,81.8177,82.5152,23964769.112955
2023-06-23,81.6904,81.8873,80.2055,80.5288,38196650.061187
2023-06-26,80.8237,81.9834,80.3398,80.4778,21819663.744936
2023-06-27,81.1684,83.2567,80.4162,83.1,25444579.511616
2023-06-28,82.1529,84.0922,81.9892,83.0549,19851905.709268
2023-06-29,83.6926,84.5143,82.905,84.4879,23875661.547659
2023-06-30,85.0707,85.6633,84.6602,84.9638,23629809.201197
2023-07-03,85.0806,85.8749,84.7182,85.8463,9227553.9347165
2023-07-05,84.9609,85.8915,84.4076,84.4184,14748915.14041
2023-07-06,82.7669,83.6387,82.7012,83.0609,24451542.669989
2023-07-07,83.2988,84.0393,82.7337,82.9383,19815060.016881
2023-07-10,83.0882,86.114,83.0882,85.9727,31262942.113052
2023-07-11,86.3039,86.489,84.6897,86.396,26038500.627974
2023-07-12,87.0767,87.9181,86.3911,87.1698,28787164.777527
2023-07-13,88.0504,88.0504,86.0258,87.21,26454563.942427
2023-07-14,86.7986,88.4823,86.7986,87.0355,18897950.416674
2023-07-17,87.2737,89.448,87.153,89.1679,27386905.954117
2023-07-18,88.7398,89.1239,87.9837,88.4901,25031742.364743
2023-07-19,87.8867,88.7384,86.7466,88.2883,24622560.179874
2023-07-20,87.4235,88.8398,86.7829,87.012,28860223.180054
2023-07-21,88.594,89.2463,87.5497,87.8358,75842258.44853
2023-07-24,88.2324,88.687,87.589,88.3099,20412472.744987
2023-07-25,88.2149,90.4245,88.2149,89.9162,20461263.424931
2023-07-26,89.0358,89.1943,86.9444,87.4772,20292869.728551
2023-07-27,88.9867,89.1189,86.7829,87.5204,22380802.506555
2023-07-28,88.0876,88.5029,87.5616,88.1335,19187795.029274
2023-07-31,87.9092,88.252,87.2727,88.0219,15280313.945829
2023-08-01,88.0543,90.1738,87.9289,90.113,20119391.755416
2023-08-02,89.3589,89.4275,87.203,87.4,27452613.595072
2023-08-03,86.8436,87.6967,86.301,86.6829,18675671.554203
